MS,X,Y
2,-9.8,2.2
4,-7.8,0.2
6,-7.8,1.8
8,-5.8,2.6
10,-4.6,1
12,-13.4,0.2
14,-11,3.4
16,-6.2,-5
18,-3.8,-0.2
20,-1.8,3.8
22,-9,3.8
24,-3.8,3.4
26,-5.8,0.2
28,-3,-0.2
30,-6.6,-0.2
32,-3.8,1.4
34,-11.4,-1
36,-5.8,3.4
38,-17.8,-1
40,-12.2,4.2
42,-13,-1
44,-9,2.6
46,-8.2,0.2
48,-11,2.6
50,-12.6,-3.8
52,-12.2,-2.6
54,-13.8,-6.2
56,-15.4,-5.4
58,-11.8,-6.2
60,-13.4,-5.4
62,-12.6,-5.4
64,-11.4,-5.8
66,-12.6,-3
68,-14.2,-4.6
70,-12.6,-2.6
72,-14.2,-3.4
74,-11.8,-5.4
76,-13.4,-3
78,-14.6,-3
80,-11,-2.6
82,-10.2,-3.8
84,-9.4,-2.6
86,-8.6,-2.2
88,-7.4,-3.4
90,-7.4,-2.2
92,-5.4,-1.4
94,-5,-1.4
96,-3.4,-0.2
98,-2.6,-0.2
100,-2.6,0.2
102,-1.4,1.4
104,-1,3
106,-1.8,-1.8
108,-1,0.6
110,-1,0.2
112,-0.2,0.2
114,-0.6,-0.2
116,-1,-1
118,-0.2,-0.2
120,-0.2,-0.2
122,-0.2,0.6
124,-0.2,-0.2
126,-0.2,0.2
128,-0.2,1
130,-0.2,1
132,-0.6,-0.2
134,-0.2,0.6
136,-0.2,-0.2
138,-0.6,-0.2
140,-1,-0.6
142,-0.6,-0.6
144,-0.6,-0.2
146,0.2,-2.2
148,1.4,1.8
150,-0.2,1
152,-0.2,-0.6
154,0.2,-0.2
156,-0.2,-0.2
158,-0.2,-0.2
160,0.2,0.2
162,-0.2,0.2
164,0.2,0.6
166,-0.2,0.2
168,0.2,0.6
170,0.2,0.6
172,-0.2,1
174,-0.2,0.6
176,-0.2,0.2
178,-0.2,-0.2
180,0.2,-0.2
182,-0.2,-0.2
184,-0.2,0.2
186,-0.2,-0.2
188,-0.2,0.2
190,-0.2,-0.2
192,-0.2,-0.2
194,-0.2,0.6
196,-0.2,-0.2
198,-0.6,-0.2
200,-0.2,-0.2
202,-0.2,-0.2
204,-0.2,-0.2
206,-0.2,-0.2
208,-0.2,-0.2
210,-0.2,-0.2
212,-0.2,-0.2
214,-0.2,-0.2
216,-0.2,-0.2
218,-0.2,-0.2
220,-0.2,-0.2
222,-0.2,-0.2
224,-0.2,-0.2
226,-0.2,-0.2
228,-0.2,-0.2
230,-0.2,-0.2
232,-0.2,-0.2
234,-0.2,-0.2
236,-0.2,-0.2
238,-0.2,-0.2
240,-0.2,-0.2
242,-0.2,-0.2
244,-0.2,-0.2
246,-0.2,-0.2
248,-0.2,-0.2
250,-0.2,-0.2
252,-0.2,-0.2
254,-0.2,-0.2
256,-0.2,-0.2
258,-0.2,-0.2
260,-0.2,-0.2
262,-0.2,-0.2
264,-0.2,-0.2
266,-0.2,-0.2
268,-0.2,-0.2
270,-0.2,-0.2
272,-0.2,-0.2
274,-0.2,-0.2
276,-0.2,-0.2
278,-0.2,-0.2
280,-0.2,-0.2
282,-0.2,-0.2
284,-0.2,-0.2
286,-0.2,-0.2
288,-0.2,-0.2
290,-0.2,-0.2
292,-0.2,-0.2
294,-0.2,-0.2
296,-0.2,-0.2
298,-0.2,-0.2
300,-0.2,-0.2
0,0,0
10,0,4.5
20,1.5,17.5
30,5.5,44
40,-7,20
50,-4,16.5
60,0,-7
70,-3,-8
80,-2,2
90,-0.5,4
100,-0.5,4
110,0,2
120,0,1.5
130,0,0
140,0,-0.5
150,0,-1.5
160,0,-1.5
170,0,-0.5
180,0,-0.5
190,0,-1.5
200,0,-0.5
210,-0.5,-1.5
220,0,-1.5
230,0,-1.5
240,0,-1.5
250,0,-1.5
