ACTUAL TIME (ms),TIME INTERVAL (ms),Accel X,Accel Y
0,0,-3.237152,2.039383
8,8,-3.3475952,1.9981384
12,4,-3.4891052,1.9426117
15,3,-3.6089478,1.8786316
23,8,-3.6894379,1.8382721
27,4,-3.6641693,1.8493958
31,4,-3.6223297,1.9338837
35,4,-3.546753,2.096161
43,8,-3.4355774,2.3521576
47,4,-3.3913116,2.372589
51,4,-3.4382782,2.2853851
58,7,-3.4578552,2.2806091
62,4,-3.3836212,2.4383545
71,9,-3.2906342,2.6557312
71,0,-3.239853,2.845398
78,7,-3.2397919,2.9328156
82,4,-3.342392,2.8891602
86,4,-3.560379,2.6786346
93,7,-3.917511,2.3837433
97,4,-4.1867065,2.0379944
101,4,-4.3672028,1.7278595
105,4,-4.4680634,1.5112
113,8,-4.4972534,1.420105
119,6,-4.5158386,1.4586029
121,2,-4.5228424,1.6162872
129,8,-4.495178,1.8650513
133,4,-4.4188538,2.1603546
136,3,-4.3960114,2.4329224
140,4,-4.407242,2.6496124
148,8,-4.409897,2.8355255
152,4,-4.3592224,3.0016327
156,4,-4.2457733,3.0877533
169,13,-4.1110687,3.1066437
169,0,-4.0014954,3.0779877
172,3,-3.91362,3.0736847
176,4,-3.8206482,3.0947113
183,7,-3.7300568,3.1566925
187,4,-3.621399,3.2202148
191,4,-3.5406952,3.282364
199,8,-3.4747467,3.315979
203,4,-3.4162292,3.2767487
207,4,-3.354782,3.1580658
217,10,-3.2949677,2.9743042
219,2,-3.2986603,2.723755
223,4,-3.3212738,2.4326324
226,3,-3.3491974,2.1534576
234,8,-3.381897,1.9288177
238,4,-3.3911743,1.7961731
242,4,-3.395172,1.7731018
250,8,-3.372467,1.884201
254,4,-3.3058472,2.0559998
258,4,-3.2232513,2.290985
266,8,-3.1301575,2.5359344
270,4,-3.0232391,2.803238
274,4,-2.934433,3.069687
277,3,-2.8510895,3.3466187
285,8,-2.78331,3.5825195
289,4,-2.7511444,3.7368622
293,4,-2.741562,3.8390198
297,4,-2.7677917,3.8309479
305,8,-2.8777008,3.6634827
315,10,-2.9562073,3.4465027
315,0,-3.0118408,3.2683868
321,6,-3.0345306,3.1496582
325,4,-2.9990234,3.1095886
328,3,-2.9575348,3.114212
332,4,-2.963211,3.1234436
340,8,-3.015396,3.0718842
344,4,-3.046875,2.965149
348,4,-3.0503998,2.8406677
364,16,-3.0582733,2.714981
364,0,-3.0811462,2.628067
364,0,-3.1271057,2.5539856
367,3,-3.1571503,2.4938812
375,8,-3.147461,2.4757996
380,5,-3.0883484,2.4526062
383,3,-3.0235443,2.479538
394,11,-2.952835,2.5112915
395,1,-2.918213,2.5580902
399,4,-2.9289246,2.6058502
403,4,-2.9568634,2.6354218
414,11,-3.004837,2.6263733
414,0,-3.0523071,2.6171112
420,6,-3.1137085,2.595642
428,8,-3.2175446,2.529892
432,4,-3.3625793,2.486679
435,3,-3.4965363,2.459961
443,8,-3.5894928,2.427185
446,3,-3.641571,2.4244385
450,4,-3.6338806,2.4428864
454,4,-3.57312,2.4487915
462,8,-3.4690247,2.434433
466,4,-3.3799744,2.4409943
478,12,-3.3289185,2.4594574
478,0,-3.3460236,2.4640045
481,3,-3.3783112,2.501068
485,4,-3.401123,2.5656128
490,5,-3.441803,2.6433258
497,7,-3.491272,2.7479095
501,4,-3.5029144,2.8851318
505,4,-3.4865112,3.0319061
513,8,-3.4498138,3.1931152
516,3,-3.344345,3.3327026
530,14,-3.201477,3.4613037
530,0,-3.0662994,3.5702362
534,4,-2.9929504,3.6615143
536,2,-3.0073242,3.727295
540,4,-3.0779266,3.7304077
548,8,-3.1780853,3.7029572
552,4,-3.2675781,3.64917
555,3,-3.3369293,3.5890808
560,5,-3.3857422,3.5427856
580,20,-3.4233398,3.5366669
580,0,-3.471756,3.5627441
580,0,-3.548172,3.6055908
583,3,-3.6106567,3.666687
587,4,-3.5968018,3.7334595
591,4,-3.5359955,3.8647614
595,4,-3.413742,4.0587006
603,8,-3.2286377,4.28125
606,3,-2.987671,4.4289093
610,4,-2.7258606,4.5409393
624,14,-2.6015015,4.5802307
624,0,-2.576355,4.55278
625,1,-2.596405,4.5217133
630,5,-2.6407166,4.5245056
638,8,-2.7001343,4.56131
642,4,-2.7940826,4.5860596
645,3,-2.9328003,4.5708466
653,8,-3.0954895,4.54718
657,4,-3.166687,4.497635
661,4,-3.181656,4.4605865
671,10,-3.1288605,4.401947
698,27,-3.0447998,4.307953
698,0,-3.0229797,4.169388
698,0,-3.1169434,3.9524536
698,0,-3.3094177,3.7460632
698,0,-3.6331635,3.5268097
698,0,-4.505234,3.2388306
703,5,-5.6768646,3.059311
719,16,-5.934784,3.127655
719,0,-5.211487,3.4803925
719,0,-4.135437,4.0224457
731,12,-3.4361877,4.6574554
731,0,-3.2974396,5.0344086
733,2,-3.4446259,5.3054657
739,6,-3.5699158,5.506897
743,4,-3.6081696,5.6168823
746,3,-3.6220245,5.64505
750,4,-3.6852417,5.585373
758,8,-3.7461853,5.421829
769,11,-3.7902222,5.1566315
769,0,-3.8520813,4.8819275
774,5,-3.9848785,4.610977
779,5,-4.101761,4.391678
782,3,-4.146942,4.230362
786,4,-4.1219788,4.139389
798,12,-4.0161743,4.0783386
798,0,-3.8690033,3.9946136
852,54,-3.7006989,3.9350739
853,1,-3.5373688,3.8543396
854,1,-3.4412537,3.7460785
854,0,-3.348053,3.64917
854,0,-3.2259216,3.5849762
854,0,-3.1012573,3.5764618
854,0,-3.00737,3.5764618
854,0,-2.9297333,3.5764618
854,0,-2.8294525,3.6060944
854,0,-2.687027,3.6184235
854,0,-2.4897156,3.631836
905,51,-2.2879944,3.6267395
905,0,-2.117569,3.6226196
905,0,-1.9891968,3.5876007
905,0,-1.9337463,3.513214
905,0,-1.9615784,3.4265137
905,0,-2.0576935,3.3250122
905,0,-2.17807,3.2627869
905,0,-2.304779,3.224289
905,0,-2.4207916,3.2034607
905,0,-2.5363617,3.1844025
920,15,-2.6190033,3.2063293
920,0,-2.674286,3.24115
920,0,-2.711502,3.2662811
948,28,-2.7377472,3.30307
948,0,-2.7412872,3.3336487
948,0,-2.7204742,3.3843842
948,0,-2.6651,3.453354
948,0,-2.5966034,3.5145721
987,39,-2.5121613,3.5803986
987,0,-2.4063416,3.6472626
988,1,-2.2513123,3.7338257
988,0,-2.0631866,3.8395538
988,0,-1.8417816,3.9299011
988,0,-1.6618195,4.003708
988,0,-1.5542297,4.041977
988,0,-1.4631653,4.09433
1031,43,-1.3760223,4.126007
1031,0,-1.289444,4.152405
1031,0,-1.2233429,4.1712646
1031,0,-1.1918488,4.122772
1032,1,-1.1876221,4.027298
1032,0,-1.1901093,4.0279236
1032,0,-1.177536,4.115158
1032,0,-1.149765,4.177597
1032,0,-1.1339264,4.2177734
1077,45,-1.1421967,4.1647644
1078,1,-1.1812592,4.0525208
1078,0,-1.246109,3.9245453
1078,0,-1.3250732,3.8295288
1078,0,-1.4498291,3.7464142
1079,1,-1.5946503,3.6507568
1079,0,-1.7395935,3.5699463
1079,0,-1.8435211,3.5169983
1079,0,-1.8928223,3.4896393
1103,24,-1.9011841,3.448288
1103,0,-1.872467,3.4328156
1103,0,-1.812439,3.4184418
1103,0,-1.7513123,3.4307861
1103,0,-1.6986847,3.4773102
1109,6,-1.6170349,3.5457153
1111,2,-1.524704,3.6536255
1155,44,-1.4267578,3.774109
1155,0,-1.3397675,3.8274994
1155,0,-1.2792664,3.8317413
1155,0,-1.2076111,3.9438324
1155,0,-1.09906,4.1336517
1155,0,-0.99687195,4.3108826
1155,0,-0.91134644,4.4082947
1155,0,-0.86143494,4.441986
1171,16,-0.8309784,4.4541016
1172,1,-0.83592224,4.4839325
1172,0,-0.86769104,4.4841766
1172,0,-0.9138489,4.4684296
1199,27,-0.94314575,4.4569855
1199,0,-0.96383667,4.4455566
1199,0,-0.967453,4.4511566
1199,0,-0.9597626,4.453247
1199,0,-0.9427643,4.4702454
1205,6,-0.89642334,4.5072784
1205,0,-0.8341217,4.5308533
1234,29,-0.7556305,4.572525
1234,0,-0.66145325,4.603897
1234,0,-0.5673981,4.6633606
1234,0,-0.4650116,4.7437744
1234,0,-0.35792542,4.79657
1236,2,-0.23846436,4.842514
1240,4,-0.13142395,4.8753204
1248,8,0.071380615,4.9140778
1252,4,-0.0738678,4.9487762
1255,3,-0.101623535,4.96727
1276,21,-0.12579346,4.9374847
1276,0,-0.19740295,4.899521
1276,0,-0.2521515,4.9006653
1276,0,-0.32618713,4.919159
1282,6,-0.40867615,4.956238
1286,4,-0.4706421,5.0014496
1290,4,-0.49845886,5.0507355
1298,8,-0.482193,5.0878296
1302,4,-0.44514465,5.118698
1306,4,-0.40827942,5.1504364
1313,7,-0.3712921,5.185364
1318,5,-0.31027222,5.2090454
1321,3,-0.27671814,5.2056885
1349,28,-0.27702332,5.1997375
1349,0,-0.31739807,5.1674347
1349,0,-0.34532166,5.136215
1349,0,-0.37832642,5.110016
1349,0,-0.40071106,5.0549316
1354,5,-0.43093872,5.010803
1357,3,-0.4678192,4.9608
1361,4,-0.51130676,4.895981
1369,8,-0.55625916,4.8338623
1388,19,-0.5967102,4.780716
1388,0,-0.60450745,4.7104034
1388,0,-0.5708313,4.651474
1388,0,-0.52864075,4.6007385
1393,5,-0.4778595,4.5820312
1395,2,-0.42463684,4.622055
1403,8,-0.38970947,4.665741
1406,3,-0.38217163,4.7046356
1412,6,-0.40274048,4.776886
1419,7,-0.43122864,4.882675
1443,24,-0.46551514,4.975052
1443,0,-0.50279236,5.0771637
1443,0,-0.55570984,5.181061
1443,0,-0.627594,5.2905426
1443,0,-0.7036896,5.373291
1446,3,-0.7965393,5.3995514
1454,8,-0.9015198,5.4072723
1458,4,-0.9645386,5.3922577
1462,4,-1.0071106,5.354004
1466,4,-1.1021423,5.3012543
1483,17,-1.1635437,5.258774
1483,0,-1.1980896,5.2428284
1483,0,-1.1804352,5.266876
1489,6,-1.0948944,5.338562
1493,4,-0.9375,5.422058
1497,4,-0.7903137,5.4664307
1502,5,-0.6807709,5.4726715
1509,7,-0.63290405,5.459244
1513,4,-0.6391754,5.4274445
1516,3,-0.70118713,5.3965454
1530,14,-0.79145813,5.379303
1530,0,-0.9005127,5.3856964
1534,4,-1.0393982,5.4042053
1540,6,-1.1856079,5.408844
1544,4,-1.3375549,5.4461365
1548,4,-1.5178833,5.451126
1552,4,-1.7378998,5.4319305
1560,8,-1.9468994,5.3847656
1563,3,-2.101532,5.3368683
1580,17,-2.1959076,5.3181763
1580,0,-2.2389984,5.3366394
1580,0,-2.2435913,5.3505707
1584,4,-2.2167206,5.3461456
1588,4,-2.1307068,5.310562
1596,8,-2.0088806,5.284607
1599,3,-1.9129791,5.2822113
1602,3,-1.8518829,5.2970276
1611,9,-1.8378906,5.2854614
1614,3,-1.8929443,5.2687836
1619,5,-2.096695,5.2500153
1623,4,-2.4164276,5.2634583
1644,21,-2.6154175,5.303192
1645,1,-2.5573425,5.4305725
1645,0,-2.3299103,5.574341
1647,2,-2.094223,5.660034
1650,3,-2.0253143,5.64476
1654,4,-2.128952,5.556259
1657,3,-2.2842865,5.440399
1677,20,-2.403183,5.363617
1677,0,-2.4470673,5.3437653
1677,0,-2.429428,5.385849
1684,7,-2.353363,5.4016724
1685,1,-2.2763672,5.4165344
1691,6,-2.2361908,5.4344482
1693,2,-2.245514,5.408905
1701,8,-2.2818756,5.35553
1704,3,-2.2740784,5.3173065
1709,5,-2.2130585,5.313507
1753,44,-2.0732422,5.330841
1753,0,-1.8322754,5.34639
1753,0,-1.5713654,5.34552
1753,0,-1.3553162,5.336197
1753,0,-1.2345581,5.373001
1753,0,-1.1624603,5.40184
1753,0,-1.1470184,5.4018555
1753,0,-1.2024689,5.386917
1757,4,-1.3135529,5.321991
1777,20,-1.4525299,5.2496643
1777,0,-1.6225586,5.185135
1777,0,-1.7369385,5.1620026
1777,0,-1.8290253,5.137985
1778,1,-1.9215698,5.1223907
1793,15,-1.9826965,5.1231995
1793,0,-1.9879456,5.1417084
1807,14,-1.9639587,5.1548615
1807,0,-1.9268951,5.1726837
1807,0,-1.841156,5.22139
1816,9,-1.7578278,5.281189
1817,1,-1.677414,5.3328247
1878,61,-1.5989685,5.3676453
1878,0,-1.4931335,5.3897247
1878,0,-1.4042511,5.423065
1878,0,-1.3305817,5.4362946
1878,0,-1.2705078,5.4191895
1878,0,-1.2291718,5.382431
1878,0,-1.2188416,5.3320465
1878,0,-1.2357941,5.2937775
1879,1,-1.2875061,5.2458344
1879,0,-1.3396606,5.1693573
1879,0,-1.3949585,5.1176147
1879,0,-1.4508362,5.0793
1930,51,-1.491684,5.0609283
1930,0,-1.5126648,5.069763
1930,0,-1.4900665,5.0847473
1930,0,-1.4477997,5.1216125
1930,0,-1.4050903,5.14093
1930,0,-1.3521271,5.1598206
1930,0,-1.3148804,5.1970673
1931,1,-1.2779541,5.2339935
1931,0,-1.247757,5.2641907
1931,0,-1.2413025,5.2540436
1931,0,-1.2578888,5.256241
1934,3,-1.2485962,5.262329
1977,43,-1.2475739,5.2489777
1978,1,-1.2601776,5.2302246
1978,0,-1.3179474,5.1620636
1978,0,-1.3919067,5.105896
1978,0,-1.447464,5.075424
1979,1,-1.4898224,5.07045
1979,0,-1.5435028,5.096298
1979,0,-1.5864105,5.1135406
1981,2,-1.5923309,5.1135406
2044,63,-1.6138306,5.1135406
2044,0,-1.6203918,5.113312
2044,0,-1.5924072,5.099228
2044,0,-1.5691376,5.0848083
2044,0,-1.5506134,5.078293
2044,0,-1.5518494,5.072418
2045,1,-1.5670624,5.0316467
2045,0,-1.5763092,4.979904
2045,0,-1.5935211,4.939972
2045,0,-1.6214142,4.9196167
2045,0,-1.6491852,4.9196167
2045,0,-1.66362,4.912979
